Problem,CRMprod_it,CRMprod_elapsed,CRMprodApprox_it,CRMprodApprox_elapsed,MAPprod_it,MAPprod_elapsed,MAPprodApprox_it,MAPprodApprox_elapsed
Prob=10_Rest=1_n=50_nsets=10,4,0.9799587666666667,7,0.00039830864150000003,125,5.466498205000001,125,0.0023294029417520973
Prob=1_Rest=1_n=50_nsets=20,5,2.096905889333333,6,0.0006751509703143975,245,12.790527847000002,231,0.00817561083496732
Prob=2_Rest=1_n=50_nsets=20,5,2.0551700843333336,7,0.0007640867469418961,246,12.42624239,239,0.008376689877721943
Prob=3_Rest=1_n=50_nsets=20,5,2.0442656476666667,7,0.0007610785577215961,233,12.280734881,209,0.007488332480538923
Prob=4_Rest=1_n=50_nsets=20,4,2.2256148886666667,6,0.000685240116033466,257,11.413443967000001,261,0.008938827918003565
Prob=5_Rest=1_n=50_nsets=20,5,2.1799733166666666,7,0.0007717095016985795,242,10.737613715,251,0.008773969098245614
Prob=6_Rest=1_n=50_nsets=20,4,2.1210003493333334,6,0.000679234040880076,253,10.592414679,254,0.008720897923478261
Prob=7_Rest=1_n=50_nsets=20,4,2.0549267,7,0.0007724474650587508,250,12.640565447,248,0.008610461165232359
Prob=8_Rest=1_n=50_nsets=20,5,2.0975440130000003,7,0.0007803077176323598,245,13.050718867,241,0.008404982573109244
Prob=9_Rest=1_n=50_nsets=20,5,2.129010433666667,7,0.0007811228627267043,249,11.825505936,238,0.008303848164451828
Prob=10_Rest=1_n=50_nsets=20,4,2.0805834073333336,7,0.0007904251681962025,249,12.773746878,239,0.008486768778341794
Prob=1_Rest=1_n=50_nsets=50,5,5.152528778000001,7,0.0019677183929133857,612,33.556775366000004,615,0.05096941465656566
Prob=2_Rest=1_n=50_nsets=50,5,5.523717118,7,0.001973607516383735,631,35.079680137000004,640,0.053431189308510645
Prob=3_Rest=1_n=50_nsets=50,5,5.443587083000001,7,0.001977781695290859,589,34.37493304,574,0.0482555345
Prob=4_Rest=1_n=50_nsets=50,5,5.5061690080000005,7,0.0019893208573131954,616,30.533693119000002,618,0.051884273608247426
Prob=5_Rest=1_n=50_nsets=50,5,5.237536007,7,0.0019886785435734183,631,34.461240556,640,0.0540189582795699
Prob=6_Rest=1_n=50_nsets=50,5,5.0718137265,7,0.0020087030823954985,631,32.880888363000004,646,0.05444787127173913
Prob=7_Rest=1_n=50_nsets=50,5,5.580822722000001,7,0.002010944021327968,645,32.806522765000004,649,0.055102980494505495
Prob=8_Rest=1_n=50_nsets=50,5,5.556151518,7,0.002050941759852217,637,37.012826414,650,0.05532951973626374
Prob=9_Rest=1_n=50_nsets=50,6,5.433268657,7,0.002029372224207961,576,34.993160595,622,0.05337936164210527
Prob=10_Rest=1_n=50_nsets=50,5,5.712747177000001,7,0.0020468357977067976,617,30.143300598000003,615,0.05216856994791667
Prob=1_Rest=1_n=100_nsets=5,4,3.3348150375000003,6,0.00032300772120000005,59,12.680149392,64,0.0012245098794117647
Prob=2_Rest=1_n=100_nsets=5,3,3.495927259,6,0.00032550455530000005,65,13.485429092,67,0.0012776847957099082
Prob=3_Rest=1_n=100_nsets=5,4,3.361545732,6,0.0003290022022,60,12.853442226,62,0.0011957801203925323
Prob=4_Rest=1_n=100_nsets=5,3,3.226177509,6,0.00033025901,62,12.917652776,61,0.0011798163737898465
Prob=5_Rest=1_n=100_nsets=5,4,3.6887811035,6,0.00032875307240000005,58,13.967925761,61,0.0012078250696324951
Prob=6_Rest=1_n=100_nsets=5,3,3.3418646670000003,6,0.0003219421181,63,13.033453562,66,0.0012567755850100605
Prob=7_Rest=1_n=100_nsets=5,4,3.2066047515,6,0.00032407935090000004,60,12.300599145000001,65,0.0012404568766137042
Prob=8_Rest=1_n=100_nsets=5,3,3.1220308215,6,0.0003263291554,61,12.734515659000001,65,0.0012434884907914388
Prob=9_Rest=1_n=100_nsets=5,3,3.1884648820000003,6,0.0003275664067,65,13.584180402000001,69,0.0013141160662809047
Prob=10_Rest=1_n=100_nsets=5,3,3.3041165180000003,6,0.00032219605190000005,64,13.431826515000001,68,0.0012995076145643693
Prob=1_Rest=1_n=100_nsets=10,4,6.7654987150000006,6,0.0006314666790997598,129,29.251141492000002,130,0.004340313737847223
Prob=2_Rest=1_n=100_nsets=10,4,6.79245461,6,0.0006341958977907568,123,29.737153419000002,130,0.004336641001734605
Prob=3_Rest=1_n=100_nsets=10,4,7.0267896080000005,6,0.0006301614463790059,128,28.964869038000003,132,0.004347899571304347
Prob=4_Rest=1_n=100_nsets=10,4,6.513961489000001,6,0.0006366027699171447,123,28.683678576000002,129,0.004297162582474227
Prob=5_Rest=1_n=100_nsets=10,4,6.434121958,6,0.000625099301539617,125,30.848679028000003,123,0.004197272914357683
